#  Georgia 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
201805,64.5
201806,64.7
201807,64.7
201808,64.7
201809,65.2
201810,65.3
201811,65
201812,65.1
201901,65.6
201902,65.3
201903,65.5
201904,65.8
201905,66
201906,65.9
201907,65.9
201908,66
201909,66
201910,66.1
201911,66
201912,66.2
202001,66.5
202002,66.1
202003,66.7
202004,66.6
202005,66.1
202006,66
202007,66
202008,66
202009,65.6
202010,65.5
202011,66.1
202012,65.6
202101,65.3
202102,65.1
202103,64.8
202104,64.8
202105,64.8
202106,64.8
202107,64.6
202108,64.5
202109,64.5
202110,64.4
202111,63.8
202112,64.6
202201,64.5
202202,64.7
202203,64.7
202204,64.7
202205,65
202206,65.3
202207,65.5
202208,65.4
202209,65.4
202210,65
202211,65.4
202212,64.8
202301,65.3
202302,65.7
202303,65.7
202304,65.8
202305,65.5
202306,65.2
202307,65.2
202308,65.4
202309,65.4
202310,65.7
202311,65.5
202312,65.6
202401,65.2
202402,64.7
202403,64.7
202404,64.7
202405,65.1
202406,65.4
202407,65.4
202408,65.3
202409,65.4
202410,65.5
202411,66
202412,65.9
202501,65.5
202502,65.6
202503,65.5
